폰모델 제목,가격,등록시간,내용
특가배터리87아이폰12프로256G그래파이트,760000,2022-07-08,"반갑습니당~~~
소독과 검수 작업을 완료하고 잘 안 찍히는 결점 하나 하나까지 세밀하게 검토하여 판매하도록 꾸준히 노력하고 있답니당 
<후기> 한번만 봐주시면 감사드릴께용
톡~~대환영!!!
자는 시간 빼고는 언제 어디서나 답변해드려욧.... 

> 모델명 : 아이폰 12프로
> 색상 : 그래파이트
> 저장공간 : 256 G
> 수리 및 보증기간 : 2023 년도 06 월 10 일까지
(소비자보호법에 의거하여 1년 추가 연장으로
활성화된 후 ""2년"" 무상수리)
> 배터리 효율 : 86 %
> 등급 : 특가
측면은 사용기스밖에 없지만
액정테두리에 콕과 액정끝부분에 기수들이

> 기능상 특이사항
없어요 ( 기능 테스트 완료 )

KT SKT LG 선불 알뜰... 모든 유심이 가능합니당
쓰시고 계신 유심을 그대로 꼽아서 바로 사용해주세요
25% 선택약정 적용도 그대로 이어서 사용가능해염 

거래는 오후에 ⑨호선 선유도역 8번출구 (영등포구 양평동) 에서 가능합니당....
택배는 오후4시마감!
직접 우체국으로 방문하여 발송해 드립니당 
택배 선불요청 5,000원 추가 입금하시면 됩니당

> ₩10,000 원 추가 입금시 별도판매 
일반충전기 + 액정필름 + 투명젤리케이스 + 그립톡 + 알콜솜 

1541"
S급 배터리86 아이폰 SE2 128G 화이트,230000,2022-07-08,"반갑습니당~~~
소독과 검수 작업을 완료하고 잘 안 찍히는 결점 하나 하나까지 세밀하게 검토하여 판매하도록 꾸준히 노력하고 있답니당 
<후기> 한번만 봐주시면 감사드릴께용
톡~~대환영!!!
자는 시간 빼고는 언제 어디서나 답변해드려욧.... 

> 모델명 : 아이폰 SE2
> 색상 : 화이트
> 저장공간 : 128 G
> 배터리 효율 : 86 %
> 등급 : S 등급
  - 측면
상단 좌측에 아주아주 미세한 콕한방뿐
  - 뒷면 
완전 깨끗
  - 액정
손톱으로도 만져지지 않고 빛 반사 시켜야 보이는 생활사용감이 있지만 액정필름 부착하면 티가 1도 안나실듯

> 기능상 특이사항
없어요 ( 기능 테스트 완료 )

KT SKT LG 선불 알뜰... 모든 유심이 가능합니당
쓰시고 계신 유심을 그대로 꼽아서 바로 사용해주세요
25% 선택약정 적용도 그대로 이어서 사용가능해염 

거래는 오후에 ⑨호선 선유도역 8번출구 (영등포구 양평동) 에서 가능합니당....
택배는 오후4시마감!
직접 우체국으로 방문하여 발송해 드립니당 
택배 선불요청 5,000원 추가 입금하시면 됩니당

> ₩10,000 원 추가 입금시 별도판매 
일반충전기 + 액정필름 + 투명젤리케이스 + 그립톡 + 알콜솜 

1540"
#최저가# 갤럭시z플립3 s급 최저가판매,600000,2022-07-08,"전국 최저가 중고폰 판매업체
번개장터 전문상점 중고나라 최고회원
전문 중고폰 판매업체
실제보유 재고만 판매합니다
모든기기 직접찍은 보유재고 기기입니다
기기 불량시 100% 교환환불

택배거래,직거래,퀵거래(고객부담) 모두가능 합니다.

갤럭시z플립3 판매합니다. 최초개통 21년9월
모든통신사 선불폰 알뜰폰 사용가능합니다.
선택약정 사용가능합니다.
외관 사진과 같이 깨끗합니다.
외부 내부 보호필름 붙오있습니다.
고속충전기 하나 같이 드립니다."
#최저가# 갤럭시s10e 전국최저가판매중,130000,2022-07-08,"전국 최저가 중고폰 판매업체
번개장터 전문상점 중고나라 최고회원
전문 중고폰 판매업체
실제보유 재고만 판매합니다
모든기기 직접찍은 보유재고 기기입니다
기기 불량시 100% 교환환불

택배거래,직거래,퀵거래(고객부담) 모두가능 합니다.

갤럭시s10e 판매합니다.
모든통신사 선불폰 알뜰폰 사용가능합니다.
선택약정 사용가능합니다.
외관 사진과 같이 깔끔합니다.
다만 우측상단에 검은멍 끝쪽에 있습니다.
크지않아 사용시 지장없습니다.
세컨폰 막폰으로 강추합니다.
고속충전기 하나 같이 드립니다."
아이폰Se2 화이트 128기가 S급 팔아요^^,264000,2022-07-08,"잔기스조차 없는 상태 최상등급 상품입니다
베터리효율90프로구요~~.
구매시 젤리범퍼케이스 강화필름 서비스 드리구요
직거래 안전거래 택배거래 다 가능합니다
모든기종 다량 보유중이니 문의 많이주세요^^"
아이폰Se2 화이트 256기가 팔아요^^,274000,2022-07-08,"상태 아주좋습니다 사진에 표시해놓은 한군데 약한찍힘있구요 나머진 완전히 깨끗합니다^^
베터리효율 90%구요~
구매시 젤리범퍼케이스 강화필름 서비스드립니다
직거래 안전거래 택배거래 다 가능해요
모든기종 다량보유 중이니 문의 많이주세요^^"
에어팟맥스 스페이스그레이,450000,2022-07-08,"5월에 구매한 제품으로 기스 없고 사용횟수 10회 미만입니다.
제품 상자는 없다는점 알아주세요."
스마트폰 그립톡 묶음,6500,2022-07-08,"둘다 미개봉입니다
대전 직거래 가능

그외 지역은 택배거래 가능(우체국)4000원입니다

자세한 문의는 챗 주세요~"
아이폰12미니 256G,490000,2022-07-08,"256기가이고
케이스에 전면보호필름으로 벗기면 상태는 거의 새것같이 깨끗합니다 보호필름 케이스 드리고
당연히 약정가입되구요
고양시 향동이나 상암쪽 직거래 택배거래 가능합니다
박풀 다 있어요
"
아이폰13프로 128G 자급제 미개봉,1170000,2022-07-08,"아이폰13프로 128G 자급제 미개봉
선택약정 확정기변 가능한 공기계
색상 실버

개봉후 환불불가"
아이폰13프로 128G 자급제 미개봉,1170000,2022-07-08,"아이폰13프로 128G 자급제 미개봉
선택약정 확정기변 가능한 공기계
색상 실버

개봉후 환불불가"
배터리84 아이패드2 와이파이 16G 그레이 A1395,65000,2022-07-08,"반갑습니당~~~
소독과 검수 작업을 완료하고 잘 안 찍히는 결점 하나 하나까지 세밀하게 검토하여 판매하도록 꾸준히 노력하고 있답니당 
<후기> 한번만 봐주시면 감사드릴께용
톡~~대환영!!!
자는 시간 빼고는 언제 어디서나 답변해드려욧.... 

> 모델명 : 아이패드 2 와이파이 A1395
> 색상 : 스페이스그레이
> 저장공간 : 16 G
> 배터리 효율 : 84 %
> 등급 : A 등급
  - 측면
4면 모서리에 콕(찍힘)
  - 뒷면
완전깨끗
  - 액정
완전 깨끗하지만 좌측하단에 먼지가 낀것같이 하얀 점들이

> 기능상 특이사항
없어요 ( 기능 테스트 완료 )

KT SKT LG 선불 알뜰... 모든 유심이 가능합니당
쓰시고 계신 유심을 그대로 꼽아서 바로 사용해주세요
25% 선택약정 적용도 그대로 이어서 사용가능해염 

거래는 오후에 ⑨호선 선유도역 8번출구 (영등포구 양평동) 에서 가능합니당....
택배는 오후4시마감!
직접 우체국으로 방문하여 발송해 드립니당 
택배 선불요청 5,000원 추가 입금하시면 됩니당

> ₩5000 원 추가 입금시 별도판매 
일반충전기 + 알콜솜 

1569"
애플 에어태그+에어태그 키링 일괄 새상품,65000,2022-07-08,새상품 일괄 판매 합니다
아이폰12 프로 128G 액정 깨끗 상하간 미세찍힘,710000,2022-07-08,"아이폰 12프로 128기가 배터리 84% 
상하단 찍힘 두곳 ,액정 깨끗 
원주 직거래,기타지역 택배거래 "
부산 아이패드미니6 핑크 256기가 와이파이용 판매해요,680000,2022-07-08,"아이패드 미니6 핑그 와이파이 256기가구요
실사용 한달 제품입니다

공장초기화 다 되어있구요
외관액정 깨끗합니다사진참조바랍니다

풀박스입니다 보호필름도 붙여져 있어요
68만원에  판매해요

부산 금정구 장전동 직거래 가능하구요
택배는 우체국택배 보내드려요
0 1 0 2 8 4 8 7 2 0 9로  연락주세요"
아이폰 SE3 128기가 화이트 판매합니다,490000,2022-07-08,"아이폰 SE3 128기가 화이트 판매합니다

단순개봉 미사용 입니다 

성남 신흥역 직거래 가능"
아이폰11pro 256기가 실버 84% 227번,540000,2022-07-08,"🥎🥎 모든 사진은 실제 사진이며 최대한 꼼꼼하게 촬영합니다 🥎🥎

⭐️ 제품 정보 ⭐️
A급(외관의 약간의 생활기스)


🌸 제품 등급 안내 🌸
 리퍼폰 : 말 그대로 리퍼 받은 폰 !!
 @S급 : 외관,액정 정말 깔끔한 폰 
 @A급 : 외관의 약간의 생활기스가 있는 폰 (찍힘 x)
 @A-급 : 테두리 약한 찍힘이 1~2개 있는 폰 or 폰은 깔끔하나 정말 미세 잔상이 있는 폰 
 @B+급 : 약간의 잔상과 테두리 찍힘 및 생활기스가 있는 폰 

⚡️구성품⚡️
기본 투명 젤리케이스,지문방지필름 증정 


@ 정상 해지된 공기계이며 , 3사 알뜰 모두 사용이 가능합니다 ! 기능도 정밀하게 검수 완료한 폰이기 때문에 믿고 거래 해주시면 정말 감사하겠습니다 

☀️문의 24시간 가능☀️

@ 직거래 , 택배거래 , 퀵거래 모두 가능 @

🚪매장주소 : 부산시 동구 대영로243번길 73(부산역 5번출구 1분거리)

<영업시간> 
12:00 ~ 20:00 

*오후4시30분까지  결제시 당일 우체국으로 배송해드립니다 !!"
애플펜슬2세대,113000,2022-07-08,"사용하기 어려워서 애플펜슬 2세대 팔아용 
거의 사용 안 해서 새거에요
잔기스도 없고
펜촉에 고무.? 끼워서 쓰던거라 거의 새거에용
편하게 연락주세요..!"
아이폰xr 화이트 64기가 S급 팔아요^^,304000,2022-07-08,"상태최상인 상품입니다~^^
생활기스 조차 찾을수없고 사설이력 전혀없는
오리지날 S급 입니다 베터리효율85%
구매시 젤리범퍼케이스 강화필름 서비스 드리구요
직거래 안전거래 택배거래 다 가능합니다
모든기종 다량 보유중이니 문의 많이주세요^^"
갤럭시s20 외관깨끗 최저가판매 s20,260000,2022-07-08,"((( 문의전화)))
☎0.1.0 .6.6.6.4 .0.2.0.0 ☎

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소
<권과장 꼭 찾아주시면 서비스 꼭 드려요>

모델명:갤럭시s20

색상:그레이.화이트.핑크

저장공간: 128G

가격: 270.000원

거래방식:직거래(인천).택배(4시이전입금당일배송원칙).퀵(당일가능)

문의전화: 0 1 0 - 6 6 6 4 - 0 2 0 0

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소

기기상태: 기기검수100%완료된상품입니다.
기능정상 외관깨끗 잔상유 배터리상태굿!


(공지사항) 

*물품수령 후 30일이내 기능불량시 무상A/S 가능합니다.
(고객과실에 의한 부분은 처리 불가능합니다)

*물품수령 후 7일이내 기능불량시 교환및수리 환불 가능합니다.
(고객 과실에 의한 부분은 처리 불가능 합니다)

*중고물품 특성상 고객변심,소모품(배터리.외형사용감)으로 인한 
 교환 및 환불은 불가능 합니다."
S20울트라 상태굿굿굿 최저가판매 갤럭시s20울트라,330000,2022-07-08,"((( 문의전화)))
☎0.1.0 .6.6.6.4 .0.2.0.0 ☎

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소
<권과장 꼭 찾아주시면 서비스 꼭 드려요>

모델명:갤럭시s20울트라

색상:블랙.그레이

저장공간: 256G

가격: 330.000원

거래방식:직거래(인천).택배(4시이전입금당일배송원칙).퀵(당일가능)

문의전화: 0 1 0 - 6 6 6 4 - 0 2 0 0

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소

기기상태: 기기검수100%완료된상품입니다.
전기종 기능정상 파손없음 잔상유 배터리상태양호 최저도매가에 판매합니다.

(공지사항) 

*물품수령 후 30일이내 기능불량시 무상A/S 가능합니다.
(고객과실에 의한 부분은 처리 불가능합니다)

*물품수령 후 7일이내 기능불량시 교환및수리 환불 가능합니다.
(고객 과실에 의한 부분은 처리 불가능 합니다)

*중고물품 특성상 고객변심,소모품(배터리.외형사용감)으로 인한 
 교환 및 환불은 불가능 합니다."
s10플러스 128G 상태굿 최저가판매 s10+ s10,270000,2022-07-08,"((( 문의전화)))
☎0.1.0 .6.6.6.4 .0.2.0.0 ☎

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소
<권과장 꼭 찾아주시면 서비스 꼭 드려요>

모델명:갤럭시s10플러스

색상:블랙.화이트.핑크

저장공간: 128G

가격: 270.000원

거래방식:직거래(인천).택배(4시이전입금당일배송원칙).퀵(당일가능)

문의전화: 0 1 0 - 6 6 6 4 - 0 2 0 0

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소

기기상태: 기기검수100%완료된상품입니다.
기능정상 외관양호  배터리상태굿!


(공지사항) 

*물품수령 후 30일이내 기능불량시 무상A/S 가능합니다.
(고객과실에 의한 부분은 처리 불가능합니다)

*물품수령 후 7일이내 기능불량시 교환및수리 환불 가능합니다.
(고객 과실에 의한 부분은 처리 불가능 합니다)

*중고물품 특성상 고객변심,소모품(배터리.외형사용감)으로 인한 
 교환 및 환불은 불가능 합니다."
갤럭시노트9 512G/128G 상태굿 최저가판매 노트9,170000,2022-07-08,"((( 문의전화)))
☎0.1.0 .6.6.6.4 .0.2.0.0 ☎

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소
<권과장 꼭 찾아주시면 서비스 꼭 드려요>

모델명:갤럭시노트9

색상:블랙.브라운.퍼플.실버

저장공간: 128G/512G(+30.000)

가격: B 170.000원
         A 210.000원

거래방식:직거래(인천).택배(4시이전입금당일배송원칙).퀵(당일가능)

문의전화: 0 1 0 - 6 6 6 4 - 0 2 0 0

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소

기기상태: 기기검수100%완료된상품입니다.
기능정상 외관양호 배터리상태양호
B (잔상이외특이사항없음 세컨용.업무용.어플용추천)
A (무잔약잔 제품 메인용 강추)

(공지사항) 

*물품수령 후 30일이내 기능불량시 무상A/S 가능합니다.
(고객과실에 의한 부분은 처리 불가능합니다)

*물품수령 후 7일이내 기능불량시 교환및수리 환불 가능합니다.
(고객 과실에 의한 부분은 처리 불가능 합니다)

*중고물품 특성상 고객변심,소모품(배터리.외형사용감)으로 인한 
 교환 및 환불은 불가능 합니다."
아이폰 11 프로맥스 64기가 골드 상태좋아요,650000,2022-07-08,"아이폰11프로맥스 64기가 골드입니다.

모든통신사 사용가능합니다.

정상해지기기로 중고신규개통 확정기변, 25%선택약정 할인 가능합니다.

어머님이 사용하셨던거라서 깨끗합니다.

앞유리 찾기힘든 작은 실기스가 있습니다.
그외 깨끗합니다.

배터리상태 84%입니다.

최초활성일은 2020년 1월 2일 입니다.

빈박스와 같이 드립니다.

폰만 판매합니다.  미사용 풀박스로 구매하시려면 3만원 추가 합니다.

서울 건대입구역 1번출구 직거래 밎 안전거래 택배(착불)  가능합니다"
(교신)아이폰12 미니 팔거나 교환합니다,550000,2022-07-08,안녕하세요 아이폰12 미니 퍼플 128GB 풀박스 자급제 판매하거나 다른 기종이랑 교환합니다 상태는 사진 보시다시피 좋은 편인데 케이스 탈부착 부주의로 생긴 까짐 있습니다 충전단자쪽이랑 전원버튼쪽 자세히 보시면 미세하게 까져있습니다 잘 티는 안나는데 하자부분은 미리 말씀드려야 할것 같아서요 케이스 하면 커버되는 부분이라 신경 안쓰셔도 됩니다 예민하신분은 다른거 알아보시길 바랍니다 배터리성능은 87%이고 보증은 얼마전에 끝났습니다 선택약정 확정기변 가능합니다 통신3사 유심만 꽂으시면 사용 가능합니다 직거래만 합니다 많이 문의주세요.
아이폰 12 블루,515000,2022-07-08,"아이폰 12 블루 64g 팔아요
전체적으로 깨끗한데 생활기스 조금씩 있어요
배터리는 82프로 이구 케이스 같이 드려요
광교에서 직거래해요~"
(교환가능)아이폰12 미니 128GB 풀박 팝니다,550000,2022-07-08,안녕하세요 아이폰12 미니 퍼플 128GB 풀박스 자급제 판매하거나 다른 기종이랑 교환합니다 상태는 사진 보시다시피 좋은 편인데 케이스 탈부착 부주의로 생긴 까짐 있습니다 충전단자쪽이랑 전원버튼쪽 자세히 보시면 미세하게 까져있습니다 잘 티는 안나는데 하자부분은 미리 말씀드려야 할것 같아서요 케이스 하면 커버되는 부분이라 신경 안쓰셔도 됩니다 예민하신분은 다른거 알아보시길 바랍니다 배터리성능은 87%이고 보증은 얼마전에 끝났습니다 선택약정 확정기변 가능합니다 통신3사 유심만 꽂으시면 사용 가능합니다 직거래만 합니다 많이 문의주세요.
(교신가능)아이폰12 미니 퍼플 128GB 팝니다,550000,2022-07-08,"☆품명:아이폰12 미니

☆색상:퍼플

☆용량:128GB

☆상태:A급 (미세한 사용감 있습니다)

☆배터리성능:87%

☆구성품:풀박스 + 케이스

☆보증:만료됨

☆자급제 . 선택약정 , 확정기변 가능

☆거래방식:직거래

☆직거래지역:시흥시 정왕동 (정왕역. 오이도역)

☆기능 성능 공능 다 정상

♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤
교환문의시 본인의 휴대폰 기종이랑 생각하고 계신 추가금 선제시 해주시면 감사하겠습니다 말도 안되는 추금 제시하시면 그냥 차단 하겠습니다.
"
아이폰12프로 128기가 그레이 s급,770000,2022-07-08,"액정,후면,후면카메라 모두 미세기스 하나 없이 아주 깨끗합니다.
테두리는 밝은 조명아래서 각도를 잘 돌려가며 봐야 보이는 미세미세한 기스가 있지만 거의 보이지 않는다 보시면 됩니다.
아쉽게도 오른쪽 테두리 위아래 모서리에 손끝으로 만져보면 살짝 걸리는 느낌의 흠집이 있는데, 예민하게 보시는 분 아니면 일반적으로 못보고 지나칠 수 있을 정도로 잘 보이지 않습니다.
사진으로 최대한 잘 보이게 찍었는데, 실제로 보면 잘 모릅니다.

전체적으로 아주 깔끔한 S급 입니다.
배터리효율 88% 이고, 25% 선택약정 가능합니다.
울산은 직거래 가능하고 타 지역은 잘 포장해서 안전하게 배송해 드리겠습니다 ~~"
아이폰12프로 256 그레이 s급,840000,2022-07-08,"무기스 무흠집 s급 입니다.
제 와이프가 쓰던건데 아주 아껴서 썼습니다.

테두리는 밝은 조명아래서 각도를 잘 맞추어 유심히 보면 아주 미세한 생활기스가 보일 수 있습니다.

액정상단에 각도를 유심히 돌려서 밝은 조명아래서 보면 얘기해야 알 수 있을만한 미세미세미세 기스가 있지만 보호필름 붙이면 당연히 보이지도 않습니다. 
굳이 얘기해야 하나 할 정도로 티가 나지 않습니다. 
뒷면 후면카메라 모두 미세기스 하나없이 아주 깨끗합니다.

배터리효율 89% 이고, 선택약정 25% 가능합니다.
잘 포장해서 안전하게 배송해 드리겠습니다 ~~
010-8560-5309"
아이폰12프로 128기가 실버 AAA급 풀박스,770000,2022-07-08,"테두리 생활기스 외에는 액정,뒷면 모두 미세기스 하나없이 아주 깨끗합니다.
테두리 기스는 실버색상 특유의 미세한 생활기스라, 중고라면 실버색상은 테두리 기스는 감수해야 합니다.
하지만 제껀 보통이하 수준의 약한 기스이고 실버의 광택도 그대로 살아 있습니다. 찍힘도 없습니다.
나머지 액정, 뒷면, 후면카메라 모두 미세기스 하나 없이 아주 깨끗합니다.

후면카메라 유리를 둘러싸고 있는 테두리는 밝은 조명아래서 보면 미세한 생활기스가 보이는데, 각도를 잘 잡아서 봐야 합니다.
그냥 봐서는 안보입니다. 여기도 돌출부위라 웬만한 중고는 여기 거의 기스가 생깁니다.
기스라고 표현해서 무언가 큰 하자가 있는것 같지만, 말씀드렸듯이 그냥 봐서는 거의 안 보입니다.

구성품 미사용 풀박스입니다. 배터리효율 87% 이고, 정상해지 되었습니다.
울산은 직거래 가능하고 타 지역은 잘 포장해서 안전하게 배송해 드리겠습니다 ~~
010-8560-5309"
아이폰 11pro 정품액정 3개 일괄 팝니다,20000,2022-07-08,"아이폰 11pro 정품액정 3개팝니다.
1번은 터치 정상작동합니다
2번은 깨졌는데 작동상태는 기억이안나요
3번은 겉 액정은 멀쩡한데 상태 기억이안나네요 
3개 일괄팝니다

"
