폰모델 제목,가격,등록시간,내용
S20울트라 256G 블랙 무잔상 sk통신사 판매중,380000,2022-07-08,"◆중고폰을 전문적으로 판매하는 매장으로 제품을 대량으로 매입하고 있어 조금 더 저렴한 가격에 판매하고 있구요 ◆

◆삼성엔지니어분들하고 똑같은 16가지방법으로 기능테스트 3차로하고 있어서 걱정말고 믿고 구매하셔도 되세요◆

◆만약에 분실이나 도난됐다! 날짜 상관없이 언제든지 100% 교환또는 환불해드리깐 걱정 하지마시고 사용하시면 되세요◆

◆SK /KT / LG /알뜰 상관없이 사용중인 유심 넣고 전원만 한번 껏다가 켜서 바로 사용하시면 되세요 ◆



◆  색상 :  블랙

◆  기가 :  256G

◆  최초통신사 :  sk

◆  최초개통일:  2020년 4월 17일


◆기능테스트 완료한 제품입니다◆
무잔상이에요 
액정이랑 뒷판은 기스없이 아주 깨끗하구요 
모서리에 군데군데 흠집이 있어요 
케이스 끼워서 사용하시면 괜찮을것 같아요 


         ◆요금할인 25%가능◆
정상해지/알뜬폰/3사 모든 통신사 가능

         ◆추가구성품◆
액정필름 + 케이스 +  유심핀 
후기 남겨주시면 밤에~ 좋은 꿈꾸실꺼에요
그라고 만남은 대구라예~

         ◆A/S기간◆
구매한날로 부터 본인 과실이 아닌 이상이 있을시에만 7일이내에 교환 또는 환불 가능합니다 (단순변심X)


◆외관 사진 최대한 잘찍으려고 카메라기능 중에 프로기능으로  찍어서 크게 보일수있겠지만 직접 받아 보시면  어! 작네 하실 꺼에요◆


◆판매자의 다른 상품클릭하면 다양한 제품들이 더 많으니깐 구경해보세요◆

         ◆퀵거래가능◆
퀵은 되는데 고객님이 부담하셔야 됩니다
  
         ◆로젠택배배송◆
택배는 평일6시30분전과 토요일 3시이전 구매건은 당일 로젠택배로 출발해 집앞으로 갈꺼에요

          ◆대구매장방문가능◆
◆대구 서구 서대구로299.20호◆
             상호 T SMART 
북부정류장앞 세븐일레븐 편의점 맞은편이에요
◆궁금하실때는 언제든지 ◆
       ㅇlㅇ - 858l  - 3l3q"
노트10플러스 256G 화이트 무잔상 sss급 판매중,360000,2022-07-08,"◆중고폰을 전문적으로 판매하는 매장으로 제품을 대량으로 매입하고 있어 조금 더 저렴한 가격에 판매하고 있구요 ◆

◆삼성엔지니어분들하고 똑같은 16가지방법으로 기능테스트 3차로하고 있어서 걱정말고 믿고 구매하셔도 되세요◆

◆만약에 분실이나 도난됐다! 날짜 상관없이 언제든지 100% 교환또는 환불해드리깐 걱정 하지마시고 사용하시면 되세요◆

◆SK /KT / LG /알뜰 상관없이 사용중인 유심 넣고 전원만 한번 껏다가 켜서 바로 사용하시면 되세요 ◆



◆  색상 :  화이트 

◆  기가 :  256G

◆  최초통신사 :  sk


◆기능테스트 완료한 제품입니다◆
무잔상이에요 
충전단자에 잔기스가 아주 살짝 있구요 
액정이나 다른 외관은 기스없이 엄청 깨끗합니다 


         ◆요금할인 25%가능◆
정상해지/알뜬폰/3사 모든 통신사 가능

         ◆추가구성품◆
액정필름 + 케이스 +  유심핀 
후기 남겨주시면 밤에~ 좋은 꿈꾸실꺼에요
그라고 만남은 대구라예~

         ◆A/S기간◆
구매한날로 부터 본인 과실이 아닌 이상이 있을시에만 7일이내에 교환 또는 환불 가능합니다 (단순변심X)


◆외관 사진 최대한 잘찍으려고 카메라기능 중에 프로기능으로  찍어서 크게 보일수있겠지만 직접 받아 보시면  어! 작네 하실 꺼에요◆


◆판매자의 다른 상품클릭하면 다양한 제품들이 더 많으니깐 구경해보세요◆

         ◆퀵거래가능◆
퀵은 되는데 고객님이 부담하셔야 됩니다
  
         ◆로젠택배배송◆
택배는 평일6시30분전과 토요일 3시이전 구매건은 당일 로젠택배로 출발해 집앞으로 갈꺼에요

          ◆대구매장방문가능◆
◆대구 서구 서대구로299.20호◆
             상호 T SMART 
북부정류장앞 세븐일레븐 편의점 맞은편이에요
◆궁금하실때는 언제든지 ◆
       ㅇlㅇ - 858l  - 3l3q"
Z플립 256G 퍼플 센터판 개통20년10월 LG 판매,340000,2022-07-08,"◆중고폰을 전문적으로 판매하는 매장으로 제품을 대량으로 매입하고 있어 조금 더 저렴한 가격에 판매하고 있구요 ◆

◆삼성엔지니어분들하고 똑같은 16가지방법으로 기능테스트 3차로하고 있어서 걱정말고 믿고 구매하셔도 되세요◆

◆만약에 분실이나 도난됐다! 날짜 상관없이 언제든지 100% 교환또는 환불해드리깐 걱정 하지마시고 사용하시면 되세요◆

◆SK /KT / LG /알뜰 상관없이 사용중인 유심 넣고 전원만 한번 껏다가 켜서 바로 사용하시면 되세요 ◆



◆  색상 :  퍼플

◆  기가 :  256G

◆  최초통신사 :  LG

◆  최초개통일:  2020년 10월 22일 


◆기능테스트 완료한 제품입니다◆
무잔상이에요 
삼성서비스센터에서 액정이랑 배터리 그리고 테두리까지 교체한 제품이에요 (초기필름0)
뒷판에만 기스가 있어요
액정과 배터리를 제외한 삼성보증은 22년 10월 말일까지 남아있습니다 


         
유심기변/알뜬폰/3사 모든 통신사 가능

         ◆추가구성품◆
액정필름 + 케이스 +  유심핀 
후기 남겨주시면 밤에~ 좋은 꿈꾸실꺼에요
그라고 만남은 대구라예~

         ◆A/S기간◆
구매한날로 부터 본인 과실이 아닌 이상이 있을시에만 7일이내에 교환 또는 환불 가능합니다 (단순변심X)


◆외관 사진 최대한 잘찍으려고 카메라기능 중에 프로기능으로  찍어서 크게 보일수있겠지만 직접 받아 보시면  어! 작네 하실 꺼에요◆


◆판매자의 다른 상품클릭하면 다양한 제품들이 더 많으니깐 구경해보세요◆

         ◆퀵거래가능◆
퀵은 되는데 고객님이 부담하셔야 됩니다
  
         ◆로젠택배배송◆
택배는 평일6시30분전과 토요일 3시이전 구매건은 당일 로젠택배로 출발해 집앞으로 갈꺼에요

          ◆대구매장방문가능◆
◆대구 서구 서대구로299.20호◆
             상호 T SMART 
북부정류장앞 세븐일레븐 편의점 맞은편이에요
◆궁금하실때는 언제든지 ◆
       ㅇlㅇ - 858l  - 3l3q"
S20플러스 256G 아우라블루 무잔상 sk 판매중,350000,2022-07-08,"◆◆중고폰 전문매장으로 대량으로 매입하고 있어 좀 더 저렴한 가격에 판매하고 있구요 
분실과 도난 제품에 대해서 100% 환불처리 해드리고 있습니다◆◆

◆  색상:  아우라블루 

◆  용량:  256G

◆  최초통신사:  sk

◆  최초개통일:  2020년 2월 27일


◆기능테스트 완료한 제품입니다◆
무잔상이에요 
액정은 기스없이 아주 깨끗하구요 
뒷판에 사용감이 다소 있어요 케이스 끼워서 사용하시면 괜찮을것 같아요 
뒷판 테두리에 흠집이 살짝 있습니다 


        ◆요금할인25%도 가능◆
정상해지/알뜰폰/3사호환가능 


         ◆추가구성품◆
 액정보호필름/투명젤리케이스/유심핀


        ◆판매자의 다른상품◆  
  클릭하시면 더 많은 상품을 보실 수 있습니다

         ◆A/S기간◆
구매한날로 부터후 본인 과실이 아닌
이상이 있을시에만 7일이내에는 교환이나 환불 100% 가능합니다 (단순변심X)

         ◆로젠택배무료배송◆
평일 6시 30분이전 구매건 /
토요일 3시 이전 구매건은 당일발송 가능합니다

         ◆퀵거래가능◆
퀵거래시 고객님 본인 부담이세요

       ◆매장방문 가능하신 고객님◆
더 많은 제품을 직접 보시고 구매 하실수 있습니다


◆대구 서구 서대구로 299. 20호 1층◆
           상호 T SMART
(북부정류장앞 세븐일레븐 편의점 맞은편)
      ◆궁금하실때는 언제든지◆
       o1o-858l-3l3q"
Z플립3 그린 256G 개통21년12월 A급 판매중,620000,2022-07-08,"◆◆중고폰 전문매장으로 대량으로 매입하고 있어 좀 더 저렴한 가격에 판매하고 있구요 
분실과 도난 제품에 대해서 100% 환불처리 해드리고 있습니다◆◆

◆  색상:  그린

◆  용량:  256G

◆  최초통신사:  kt

◆  최초개통일:  2021년 12월 30일


◆기능테스트 완료한 제품입니다◆
무잔상이에요 
삼성보증기간 넉넉하게 남아있어요 
액정이나 외관은 전체적으로 엄청 깨끗하구요 
뒷판에 작은 기스가 살짝 있습니다 


        
유심기변/알뜰폰/3사호환가능 


         ◆추가구성품◆
 투명젤리케이스/유심핀


        ◆판매자의 다른상품◆  
  클릭하시면 더 많은 상품을 보실 수 있습니다

         ◆A/S기간◆
구매한날로 부터후 본인 과실이 아닌
이상이 있을시에만 7일이내에는 교환이나 환불 100% 가능합니다 (단순변심X)

         ◆로젠택배무료배송◆
평일 6시 30분이전 구매건 /
토요일 3시 이전 구매건은 당일발송 가능합니다

         ◆퀵거래가능◆
퀵거래시 고객님 본인 부담이세요

       ◆매장방문 가능하신 고객님◆
더 많은 제품을 직접 보시고 구매 하실수 있습니다


◆대구 서구 서대구로 299. 20호 1층◆
           상호 T SMART
(북부정류장앞 세븐일레븐 편의점 맞은편)
      ◆궁금하실때는 언제든지◆
       o1o-858l-3l3q"
S9플러스 64G 블랙 세컨폰 업무용 판매중,150000,2022-07-08,"◆중고폰을 전문적으로 판매하는 매장으로 제품을 대량으로 매입하고 있어 조금 더 저렴한 가격에 판매하고 있구요 ◆

◆삼성엔지니어분들하고 똑같은 16가지방법으로 기능테스트 3차로하고 있어서 걱정말고 믿고 구매하셔도 되세요◆

◆만약에 분실이나 도난됐다! 날짜 상관없이 언제든지 100% 교환또는 환불해드리깐 걱정 하지마시고 사용하시면 되세요◆

◆SK /KT / LG /알뜰 상관없이 사용중인 유심 넣고 전원만 한번 껏다가 켜서 바로 사용하시면 되세요 ◆



◆  색상 :  블랙 

◆  기가 :  64G

◆  최초통신사 :  sk


◆기능테스트 완료한 제품입니다◆
게임용이나 업무용으로 사용하셔도 될것같아요 
잔상이 다소 있어요 
액정이나 뒷판은 기스없이 깨끗하구요 
상단과 하단 모서리에 흠집이 있습니다 



         ◆요금할인 25%가능◆
정상해지/알뜬폰/3사 모든 통신사 가능

         ◆추가구성품◆
액정필름 + 케이스 +  유심핀 
후기 남겨주시면 밤에~ 좋은 꿈꾸실꺼에요
그라고 만남은 대구라예~

         ◆A/S기간◆
구매한날로 부터 본인 과실이 아닌 이상이 있을시에만 7일이내에 교환 또는 환불 가능합니다 (단순변심X)


◆외관 사진 최대한 잘찍으려고 카메라기능 중에 프로기능으로  찍어서 크게 보일수있겠지만 직접 받아 보시면  어! 작네 하실 꺼에요◆


◆판매자의 다른 상품클릭하면 다양한 제품들이 더 많으니깐 구경해보세요◆

         ◆퀵거래가능◆
퀵은 되는데 고객님이 부담하셔야 됩니다
  
         ◆로젠택배배송◆
택배는 평일6시30분전과 토요일 3시이전 구매건은 당일 로젠택배로 출발해 집앞으로 갈꺼에요

          ◆대구매장방문가능◆
◆대구 서구 서대구로299.20호◆
             상호 T SMART 
북부정류장앞 세븐일레븐 편의점 맞은편이에요
◆궁금하실때는 언제든지 ◆
       ㅇlㅇ - 858l  - 3l3q"
A51 핑크 128G 개통20년6월 무잔상 A급 판매중,190000,2022-07-08,"◆◆중고폰 전문매장으로 대량으로 매입하고 있어 좀 더 저렴한 가격에 판매하고 있구요 
분실과 도난 제품에 대해서 100% 환불처리 해드리고 있습니다◆◆

◆  색상:  핑크

◆  용량:  128G

◆  최초통신사:  LG

◆  최초개통일:  2020년 6월 18일


◆기능테스트 완료한 제품입니다◆
무잔상이에요
액정과 배터리를 제외한 삼성보증은 22년 6월 말일까지 남아있어요 
뒷판에 사용감 살짝이랑 충전단자에 작은 기스가 살짝있구요
액정은 기스없이 아주 깨끗합니다 


        ◆요금할인25%도 가능◆
정상해지/알뜰폰/3사호환가능 


         ◆추가구성품◆
 액정보호필름/투명젤리케이스/유심핀


        ◆판매자의 다른상품◆  
  클릭하시면 더 많은 상품을 보실 수 있습니다

         ◆A/S기간◆
구매한날로 부터후 본인 과실이 아닌
이상이 있을시에만 7일이내에는 교환이나 환불 100% 가능합니다 (단순변심X)

         ◆로젠택배무료배송◆
평일 6시 30분이전 구매건 /
토요일 3시 이전 구매건은 당일발송 가능합니다

         ◆퀵거래가능◆
퀵거래시 고객님 본인 부담이세요

       ◆매장방문 가능하신 고객님◆
더 많은 제품을 직접 보시고 구매 하실수 있습니다


◆대구 서구 서대구로 299. 20호 1층◆
           상호 T SMART
(북부정류장앞 세븐일레븐 편의점 맞은편)
      ◆궁금하실때는 언제든지◆
       o1o-858l-3l3q"
A71 퀀텀 128G 블랙 무잔상 sk 판매중,160000,2022-07-08,"◆중고폰을 전문적으로 판매하는 매장으로 제품을 대량으로 매입하고 있어 조금 더 저렴한 가격에 판매하고 있구요 ◆

◆삼성엔지니어분들하고 똑같은 16가지방법으로 기능테스트 3차로하고 있어서 걱정말고 믿고 구매하셔도 되세요◆

◆만약에 분실이나 도난됐다! 날짜 상관없이 언제든지 100% 교환또는 환불해드리깐 걱정 하지마시고 사용하시면 되세요◆

◆SK /KT / LG /알뜰 상관없이 사용중인 유심 넣고 전원만 한번 껏다가 켜서 바로 사용하시면 되세요 ◆



◆  색상 :  블랙

◆  기가 :  128G

◆  최초통신사 :  sk

◆  최초개통일:  2020년 8월 3일 


◆기능테스트 완료한 제품입니다◆
무잔상이에요
액정에 필름붙이면 덜 보이겠지만 기스가 다소 있어요 
뒷판에 잔기스가 다소 있고
테두리에  작은 콕들이 살짝씩 있습니다 


         ◆요금할인 25%가능◆
정상해지/알뜬폰/3사 모든 통신사 가능

         ◆추가구성품◆
액정필름 + 케이스 +  유심핀 
후기 남겨주시면 밤에~ 좋은 꿈꾸실꺼에요
그라고 만남은 대구라예~

         ◆A/S기간◆
구매한날로 부터 본인 과실이 아닌 이상이 있을시에만 7일이내에 교환 또는 환불 가능합니다 (단순변심X)


◆외관 사진 최대한 잘찍으려고 카메라기능 중에 프로기능으로  찍어서 크게 보일수있겠지만 직접 받아 보시면  어! 작네 하실 꺼에요◆


◆판매자의 다른 상품클릭하면 다양한 제품들이 더 많으니깐 구경해보세요◆

         ◆퀵거래가능◆
퀵은 되는데 고객님이 부담하셔야 됩니다
  
         ◆로젠택배배송◆
택배는 평일6시30분전과 토요일 3시이전 구매건은 당일 로젠택배로 출발해 집앞으로 갈꺼에요

          ◆대구매장방문가능◆
◆대구 서구 서대구로299.20호◆
             상호 T SMART 
북부정류장앞 세븐일레븐 편의점 맞은편이에요
◆궁금하실때는 언제든지 ◆
       ㅇlㅇ - 858l  - 3l3q"
S21플러스 256G 블랙 무잔상 개통21년2월 판매중,460000,2022-07-08,"◆중고폰을 전문적으로 판매하는 매장으로 제품을 대량으로 매입하고 있어 조금 더 저렴한 가격에 판매하고 있구요 ◆

◆삼성엔지니어분들하고 똑같은 16가지방법으로 기능테스트 3차로하고 있어서 걱정말고 믿고 구매하셔도 되세요◆

◆만약에 분실이나 도난됐다! 날짜 상관없이 언제든지 100% 교환또는 환불해드리깐 걱정 하지마시고 사용하시면 되세요◆

◆SK /KT / LG /알뜰 상관없이 사용중인 유심 넣고 전원만 한번 껏다가 켜서 바로 사용하시면 되세요 ◆



◆  색상 :  블랙 

◆  기가 :  256G

◆  최초통신사 :  sk

◆  최초개통일:  2021년 2월 8일 


◆기능테스트 완료한 제품입니다◆
무잔상이에요 
액정과 배터리를 제외한 삼성보증은 23년 2월 말일까지 남아있어요 
뒷판에 사용감이 다소 있구요
카메라 테두리 색까짐이 살짝 있어요 
하단 모서리에 작은 흠집이 살짝 있습니다 


         ◆요금할인 25%가능◆
정상해지/알뜬폰/3사 모든 통신사 가능

         ◆추가구성품◆
액정필름 + 케이스 +  유심핀 
후기 남겨주시면 밤에~ 좋은 꿈꾸실꺼에요
그라고 만남은 대구라예~

         ◆A/S기간◆
구매한날로 부터 본인 과실이 아닌 이상이 있을시에만 7일이내에 교환 또는 환불 가능합니다 (단순변심X)


◆외관 사진 최대한 잘찍으려고 카메라기능 중에 프로기능으로  찍어서 크게 보일수있겠지만 직접 받아 보시면  어! 작네 하실 꺼에요◆


◆판매자의 다른 상품클릭하면 다양한 제품들이 더 많으니깐 구경해보세요◆

         ◆퀵거래가능◆
퀵은 되는데 고객님이 부담하셔야 됩니다
  
         ◆로젠택배배송◆
택배는 평일6시30분전과 토요일 3시이전 구매건은 당일 로젠택배로 출발해 집앞으로 갈꺼에요

          ◆대구매장방문가능◆
◆대구 서구 서대구로299.20호◆
             상호 T SMART 
북부정류장앞 세븐일레븐 편의점 맞은편이에요
◆궁금하실때는 언제든지 ◆
       ㅇlㅇ - 85"
S21 팬텀그레이 256G 무잔상 개통21년4월 판매중,420000,2022-07-08,"◆중고폰을 전문적으로 판매하는 매장으로 제품을 대량으로 매입하고 있어 조금 더 저렴한 가격에 판매하고 있구요 ◆

◆삼성엔지니어분들하고 똑같은 16가지방법으로 기능테스트 3차로하고 있어서 걱정말고 믿고 구매하셔도 되세요◆

◆만약에 분실이나 도난됐다! 날짜 상관없이 언제든지 100% 교환또는 환불해드리깐 걱정 하지마시고 사용하시면 되세요◆

◆SK /KT / LG /알뜰 상관없이 사용중인 유심 넣고 전원만 한번 껏다가 켜서 바로 사용하시면 되세요 ◆



◆  색상 :  팬텀그레이 

◆  기가 :  256G

◆  최초통신사 :  LG

◆  최초개통일:  2021년 4월 3일 


◆기능테스트 완료한 제품입니다◆
무잔상이에요 
액정은 기스없이 깨끗하구요
테두리에 잔기스가 다소 있는편이고 베젤부분 기스가 있어요
카메라 테두리에 사용감이랑 뒷판에 잔기스가 있습니다 


         ◆요금할인 25%가능◆
정상해지/알뜬폰/3사 모든 통신사 가능

         ◆추가구성품◆
액정필름 + 케이스 +  유심핀 
후기 남겨주시면 밤에~ 좋은 꿈꾸실꺼에요
그라고 만남은 대구라예~

         ◆A/S기간◆
구매한날로 부터 본인 과실이 아닌 이상이 있을시에만 7일이내에 교환 또는 환불 가능합니다 (단순변심X)


◆외관 사진 최대한 잘찍으려고 카메라기능 중에 프로기능으로  찍어서 크게 보일수있겠지만 직접 받아 보시면  어! 작네 하실 꺼에요◆


◆판매자의 다른 상품클릭하면 다양한 제품들이 더 많으니깐 구경해보세요◆

         ◆퀵거래가능◆
퀵은 되는데 고객님이 부담하셔야 됩니다
  
         ◆로젠택배배송◆
택배는 평일6시30분전과 토요일 3시이전 구매건은 당일 로젠택배로 출발해 집앞으로 갈꺼에요

          ◆대구매장방문가능◆
◆대구 서구 서대구로299.20호◆
             상호 T SMART 
북부정류장앞 세븐일레븐 편의점 맞은편이에요
◆궁금하실때는 언제든지 ◆
       ㅇlㅇ - 858l  - 3l3q"
갤럭시 노트10 블랙 256GB(sk개통),250000,2022-07-08,"갤럭시 노트10 블랙 256GB 팔아요
공장초기화o 정상해지 폰입니다
sk개통했고, 모든 통신사 가능
잔상x 기능이상x 펜 이상x
윗면 중앙에 긁힘있어요(5번째 사진 참고)
나머지 단말기, 펜 외관 s급 입니당
최초개통 : 19.06.20
미남역 사직역 부전역 직거래 원해요
반값택배 가능해요!"
풀교체 리퍼폰 갤럭시S21+플러스 센터판 수리후 미사용,540000,2022-07-08,"갤럭시S21플러스  256GB 핑크

삼성 공식 서비스센터에서
액정, 배터리, 테두리, 후면 외관 풀교체 후 미사용입니다
수리내역서, 영수증 동봉해드리며
서비스센터 방문시 이력 조회 가능합니다

서비스센터 정품 보호필름 붙어있습니다
전면, 측면, 후면 초기보호비닐도 붙어있으니 떼시면 됩니다
후면 깨끗합니다

박스구성품
-케이블(안뜯음)
-유심핀
-투명케이스

최초통신사 KT
정상해지 단말이며 선택약정 가능합니다
모든 통신사 다 이용가능하며
교통카드 등록은 안드로이드11 이상 단말의 경우 통신사와 관계없이 가능합니다

기기무상보증기한 ~2023.08.31
수리일자 2022.07.07

CJ대한통운으로 발송됩니다
우체국 방문접수(익일발송) +2000원
중나페이 가능합니다(바로 결제주셔도 됩니다)"
